Rayyan ID,Author year,Title,DOI,Study animal,Study species,Study country,Study location,Study latitude / longitude,Production stage,Farming system,Farming system coding,Impact type,Impact details,Impact category,Study type,Study objectives,Mitigation evaluation,Study design,Methodology for data collection,Study length (months),Funding body,Funder,Include/Exclude,Exclusion Reason
271833970,Tosun 2025,"Economic and employment implications of fish farming in the Karaburun-Ildır Special Protection Area, Turkish Aegean Sea",10.4194/TRJFAS27920,"Sea bass, Sea bream","Sea bass (Dicentrus labrax), Gilthead sea bream (Sparus aurata)",Turkey,Karaburun-Ildır Bay Special Environmental Protection Area (SEPA) in İzmir Province,"38.634316, 26.502800","Feed, Processing, Adult",off-shore mariculture,Offshore pens,Social,"Socio-economic impacts: Employment generation, community development, and local market dynamics","Social > Employment, Social > Local economy",Observational,"""The aim of this study is to analyze the socio-economic implications of aquaculture practices in the Karaburun-Ildır Bay SEPA. By examining the balance between aquaculture growth and ecological preservation, the study seeks to understand how these activities influence local livelihoods, economic opportunities, and the broader goals of sustainable regional development. This research explored the benefits and challenges associated with aquaculture expansion in the region, particularly in terms of its impact on local communities. The main hypothesis of this study is that aquaculture activities, fish feed factories, and processing-packaging industries within the Karaburun-Ildır Bay Special Environmental Protection Area have significant effects on the socio- economic structure of the local population""",No,Qualitative,"This study employed a mixed-method approach, using face-to-face surveys as the primary data collection tool to assess the socio-economic implications of aquaculture practices in the Karaburun-Ildır Bay Special Environmental Protection Area (SEPA). The surveys were conducted with key stakeholders involved in the regional aquaculture industry, including fish farms, fish processing facilities, and fish feed producers. A structured questionnaire was designed to gather both qualitative and quantitative data. In addition to the primary data obtained from the surveys regarding the businesses, secondary data were analyzed from Government Reports and Academic Literature. ",2,Government,"Turkish Ministry of Environment, Urbanization and Climate Change (TMEUC)",Include,
271833981,Krøvel 2019,Exploring attitudes toward aquaculture in Norway – Is there a difference between the Norwegian general public and local communities where the industry is established?,10.1016/j.marpol.2019.103648,Salmon,Salmon (unspecified),Norway,Finnoy Minicipality,"62.799146, 6.503298",Not stated,"Coastal Finfish aquaculture ""respondents believe they have fish farms in their local area""",Offshore pens,Social,"Attitudes of National and Local public of a) how the local and the national samples differ (i) in their perception of how aquaculture may pose a threat to the marine environment, ii) in their perception of conflicting interests, and iii) in their perceptions of the aquaculture industry's potential job creation; and, b) how these perceptions (i, ii and iii) shape attitudes towards aquaculture.","Social > Attitudes > Ecological impacts, Social > Attitudes > Socio-economic impacts, Social > Attitudes > General perceptions of aquaculture",Observational,"""A comparison of attitudes towards aquaculture in Ireland and Norway suggests that Norwegians have more positive attitudes than their Irish counterparts, despite the intensity of aquaculture activities being much higher in Norway. Our study adds to this research by exploring the significance of living in a community where aquaculture is present. This is done by comparing attitudes in the Norwegian general public with attitudes of inhabitants of a small municipal area with a high level of aquaculture activity. Our research question is: How do people in a community where the industry dominates differ from the general population in their perception of aquaculture? Findings from this study will be important input for politicians and local administrations governing aquaculture."" ",No,CI,"The data sets were obtained from two almost identical surveys, carried out as telephone interviews in two different samples. The first survey was a representative national survey conducted in Norway 2016. A survey company (Respons analyse) was used which had a panel of 40,000 persons over the age of 18 in Norway. Based on a quota sampling approach, participants were sampled strategically from the panel in order to achieve representativeness in terms of sex, age and geography. The total number of respondents was 1001. This data set is referred to as the national sample in the text. The second survey was conducted in 2017 in the municipality of Finnoey which has a total population of about 3000 persons. The survey included 100 respondents and this data set is referred to as the local sample in the text.",2,Government,"The Research Council of Norway (RCN), Research Program HAVBRUK2, grant #244269E40",Include,
271833984,Pitchon 2015,"Large-Scale Aquaculture and Coastal Resource-Dependent Communities: Tradition in Transition on Chiloe Island, Chile",10.1111/jlca.12151,Salmon,Salmon (unspecified),Chile,"The large island of Chiloe. Located in the Tenth Region, 700 miles south of Chile’s capital city of Santiago. Research took place primarily in the town of Chonchi, located mid island on the eastern side. ","-42.625536, -73.773852",Not stated,Net-Pen Aquaculture,Offshore pens,Social,"""Loss of access to traditional resources / shift from autonomous, subsistence-based livelihoods to wage labour / increased economic dependency on external institutions / privatisation and competition for marine space / cultural changes and erosion of traditional practice / social stratification and marginalisation / mixed employment impact""","Social > Employment, Social > Traditional livelihoods, Social > Local economy, Social > Land and resource access, Social > Cultural practices, Social > Inequality",Observational,"""The principal objective of this research is to evaluate how the ever-expanding aquaculture industry is affecting the sociocultural characteristics of coastal resource-dependent communities on the island of Chilo ́e""",No,Qualitative,"Used a combination of traditional ethnography, observational research, rapid assessment, secondary data analysis, and survey research. The includes structured interviews of 30-minute questionnaires circulated among fishermen and aquaculture employees (N = 277), formal interviews with 7 key informants over 11 months, and owners of aquaculture firms (N = 11), biologists (N = 4), academics (N = 7), and community leaders (N = 18). Interviews were recorded on paper, and later transcribed into a computer database. Using the Atlas TI software package, coded the text to find recurrent themes that set the foundation for the description of general trends through discovery of consensus in the data.",1,Not reported,,Include,
271834011,Piroddi 2011,Marine open cage aquaculture in the eastern Mediterranean Sea: a new trophic resource for bottlenose dolphins,10.3354/meps09319,"Sea bream, Sea bass","Sea bass (Dicentrus labrax), Gilthead sea bream (Sparus aurata)",Greece,"the inner Ionian Sea Archipelago, western Greece, an area, covering ~1020 km2 of sea surface.","38.783421, 20.402173",Adult,open cage aquaculture,Offshore pens,Ecological,"direct and indirect effects of anthropogenic pressures on marine mammals and the possible ecological consequences of their dynamics, specifically spatial trends in the distribution of bottlenose dolphins around fish farms and the trophic mechanisms behind this interaction","Ecological > Marine mammals > Abundance, Ecological > Plankton > Productivity/biomass",Modelling,"""We developed an ecosystem model for the inner Ionian Sea Archipelago, western Greece, to: (1) evaluate the trophic interactions between bottlenose dolphins and their surrounding ecosystem, including cage-associated organisms; (2) investigate simultaneously 3 hypotheses that could explain bottlenose dolphin dynamics: (a) increasing fishing effort and changes in ocean productivity, (b) competition with other species, and (c) increase in number of fish farms; and (3) explore spatial trends in bottlenose dolphins distribution using the increased number of fish farms as an explanatory variable.""",No,"Time-series, Modelling","Ecopath is a mass-balanced model that provides a static description of an ecosystem at a precise period in time (Christensen & Walters 2004, Christensen et al. 2008). It can describe principal species of auto- trophs and heterotrophs individually or by aggregating them into functional groups (species with a similar ecotrophic role), while incorporating data on biomass (t km−2), total food consumption rate (Q/B), total biological production rate (P/B), and diet composition (expressed as a fraction of prey in the average diet of a predator). Fishing activities can also be included by adding data on landings (t km −2), discards (t km−2), and bycatch (t km −2), as well as bioeconomic parameters (i.e. value and cost; Christensen et al. 2008)",132,"Government, NGO, Research institute","National Science and Engineering Research Council of Canada and the Sea Around Us Project, a scientific cooperation between the University of British Columbia and the Pew Environment Group",Include,
271834127,Penston 2008,Reduced Lepeophtheirus salmonis larval abundance in a sea loch on the west coast of Scotland between 2002 and 2006,10.3354/dao01946,Salmon,Atlantic salmon (Salmo salar),United Kingdom of Great Britain and Northern Ireland (the),"Loch Shieldaig, Scotland","57.537445, -5.674496",Adult,"open cage, marine-based systems",Offshore pens,Ecological,Increased infection pressure of L. salmonis sea lice originating from fish farms and their effects on wild sea trout and salmon.,Ecological > Pathogens > Sea lice,"Observational, Modelling","To investigate any associations between the densities and numbers of Lepeophtheirus salmonis larvae at the salmon farm during two different production cycles, and the larval lice recovered at the nearby wild stations.",No,Time-series,Methods included 1) Plankton surveys at 3 wild stations adjacent to fish farms; 2) Identification of larvae - Copepodids were identified to species using an inverted microscope; 3) Gravid Lepeophtheirus salmonis counts - conducted approximately weekly; the pens and fish sampled were selected at random; 4) Statistical analyses. The influence of station and time (production week) on nauplius and copepodid densities was investigated using Generalized Additive Models,8,Not reported,-,Include,
271834132,Dunlop 2024,Attraction and avoidance of wild demersal fish and crustaceans to open-net aquaculture pens resolved by baited and towed underwater camera surveys,10.3389/fmars.2024.1400195,Salmon,Atlantic salmon (Salmo salar),Norway,"three study farms in Western Finnmark, northern Norway and four salmon farms in the Frøya region of central western Norway.","67.644865, 15.494375",Adult,"open cage, net-pen marine-based systems",Offshore pens,Ecological,aquaculture-related effects on demersal fish and crustaceans’ spatial dynamics and potential food web changes.,"Ecological > Wild fish > Community composition, Ecological > Wild fish > Abundance, Ecological > Crustacea > Community composition, Ecological > Crustacea > Abundance",Observational,"""This study aims to address this by examining the effects of the presence of salmon aquaculture facilities and a particulate organic material enrichment gradient from farm wastes (uneaten food and faeces) on the spatial structure, density, and relative abundance of demersal fish and crustacean communities.""",No,Time-series,A towed underwater camera (TUC) and BRUVs systems were used to record and count the relative diversity and density of demersal fish and crustaceans in the vicinity of the seven study farms. Sediment traps were deployed to collect suspended particulate matter along the enrichment gradient leading downstream of the farms and Benthic infaunal samples were collected with a grab from the cage edge up to 1.5 km downstream of each farm in the main current direction.,2,Government,Norwegian Research Council under the projects ERA (grant number 228871) and SustainAqua (grant number 267829),Include,
271834151,Bateman 2021,Descriptive multi-agent epidemiology via molecular screening on Atlantic salmon farms in the northeast Pacific Ocean,10.1038/s41598-020-78978-9,Salmon,Atlantic salmon (Salmo salar),Canada,"British Columbia, Canada","50.523414, -126.244470","Roe, Fry, Smolt, Adult",Open-net systems and freshwater hatcheries,"Offshore pens, Freshwater hatcheries",Ecological,infectious agent exchange between wild and farmed fish,Ecological > Pathogens > Infectious disease,"Observational, Modelling","""We report findings from a multi-year, multi-infective-agent monitoring program, focused on farmed Atlantic salmon in Pacific Canada. This work forms part of a broader research effort using next-generation sequencing in pathogen discovery, followed by high-throughput genetic screening techniques, to monitor infective agents in multiple salmon populations. Here, we focus on results from a research-directed screening program, conducted at regular intervals on four Atlantic salmon farms throughout their production cycles. We characterise time series for dozens of infective agents, identify agents associated with mortality, and provide information for future epidemiological study.""",No,"Time-series, Modelling","Four cohorts of farmed Atlantic salmon were sampled repeatedly throughout their marine production cycles, from ocean entry to the onset of harvest. Both live individuals, after euthanisation, and recently dead or dying individuals were sampled. Tissue from each sampled fish was genetically assayed for 47 different infectious agents (including viruses, bacteria, and metazoans). After field sampling and genetic workup, we fit descriptive statistical models to genetic prevalence and intensity time series for individual agents. We modelled temporal trends, calculated agent correlations and overall infection burdens, and looked for differences between live and dead/dying fish.",6,NGO,Pacific Salmon Foundation and Genome British Columbia,Include,
271834165,Handley 2020,"Relative macrofaunal biomass reduced under an enriched salmon farm, Pelorus Sound, Aotearoa-New Zealand",10.1016/j.marpolbul.2020.111303,Salmon,Chinook salmon (Oncorhynchus tshawytscha),New Zealand,"on the western side of Crail Bay, Pelorus Sound, Aotearoa-New Zealand","-41.111261, 173.957431",Adult,"open cage, marine-based systems",Offshore pens,Ecological,"declines in macrofaunal diversity, biomass and productivity below the salmon farm","Ecological > Benthos > Community composition, Ecological > Benthos > Productivity/biomass, Ecological > Benthos > Functional diversity, Ecological > Benthos > Abundance",Observational,"The aim of this study was to describe the functional changes that macrofauna undergo beneath a finfish farm operating at a low-flow location in Pelorus Sound, A-NZ. We hypothesised i) that the macrofauna would respond to enrichment with reductions in diversity and abundance of larger species, with a switch to the dominance of smaller opportunistic species. We subsequently used macrofaunal size-based estimates of biomass to test hypothesis ii) that biomass would increase beneath the farm in response to enrichment.",No,CI,"Sampling of Benthic organisms was carried out using a Van-Veen grab. Three replicate grab samples were collected at each of 9 sites. Samples were spread along the 15 m depth contour from north-east and south-west of Li 32 with four sites inside the salmon farm, and the remainder placed between long-line mussel farms. Distances of refence stations to nearest mussel and salmon farms were measured using Google Earth time-lapse imagery. A 20 mm core was also taken from the grab and subsampled down to 5 mm sediment depth for chemical analysis. Preserved infauna was sieved over a log-series of mesh sieves down to 0.5 mm and analysed for abundance. Wet sieving was used to measure Sediment characteristics and chemistry",1,Government,"New Zealand Ministry for Business and Innovation, NIWA Core Funds CEE1202, ACEE1305, ACEE1601",Include,
279909051,Chang 2017,"Benthic macrofaunal biodiversity in relation to sediment sulfide concentration under salmon farms in southwestern New Brunswick, Bay of Fundy",Not found ,Salmon,Atlantic salmon (Salmo salar),Canada,"Southwestern New Brunswick (SWNB), Bay of Fundy ","44.664657, -67.043463",Adult,"open cage, marine-based systems and multi-trophic aquaculture systems","Offshore pens, Integrated Multi-Trophic Aquaculture (IMTA)",Ecological,impacts on the benthic macrofaunal community as a result of organic enrichment due to salmon farms,"Ecological > Benthos > Community composition, Ecological > Benthos > Abundance",Observational,"""The present study conducted intensive sampling of sediment sulfide and benthic biodiversity under two active salmon farms and one reference location in SWNB""",No,CI,"Benthic sediment samples were collected under two marine salmon farms (sites A & B) and a reference site (C) in southwestern New Brunswick (SWNB), Bay of Fundy. Triplicate grab samples were taken at 6 stations at each site. Macrofaunal biodiversity and total free sulfide concentration were measured in each grab",1,"Government, Industry","Fisheries and Oceans Canada (DFO) Aquaculture Collaborative Research and Development Program (ACRDP), project MG-08-01-008, with contributions from the Atlantic Canada Fish Farmers Association and DFO Science",Include,
279909052,Miggiano 2005,AFLP and microsatellites as genetic tags to identify cultured gilthead seabream escapees: data from a simulated floating cage breaking event,10.1007/s10499-004-9024-4,Sea bream,Gilthead sea bream (Sparus aurata),Italy,"Natural population in west Sardinia, and broodstocks in Italian Hatcheries",,Adult,Floating cages ,Offshore pens,Ecological,to forecast the genetic impact of fish farm escapees of Atlantic and Mediterranean seabream hatchery ,Ecological > Wild fish > Taxonomic/genetic diversity,Experimental,"""In the present study, the breakdown of a virtual floating cage located in the west Sardinian coast was simulated and the resulting possible mixture between cultured and local wild fishes analysed. Two different case studies were simulated: in the first, the escapees were virtual offspring of parents from a distant geographical origin (east Atlantic broodstock), in the other they virtually originated from a Mediterranean broodstock. In both cases the reliability of AFLP and microsatellite markers for the identification of escapees among native fish was tested""",No,Modelling,"Genetic fin clip sampling of wild and cultured seabream. 147 AFLP and 4 microsatellite markers were used as genetic tags from two different hatchery broodstocks (one of Atlantic and one of Mediterranean origin) and wild fishes from a natural population were fingerprinted. Putative offspring were computer-generated, and the confidence in the parentage assignment of their genetic profiles to the hatchery broodstock assessed. The virtual offspring were then mixed with specimens from a natural population to simulate an accidental escape from a floating cage. ",1,Government,MiPA (Act 41/82),Include,
